,batter_id,team,first_name,last_name
0,592192,OAK,Mark,Canha
1,620439,OAK,Franklin,Barreto
6,621566,OAK,Matt,Olson
12,518960,OAK,Jonathan,Lucroy
18,476704,OAK,Jed,Lowrie
19,640461,OAK,Chad,Pinder
25,605361,OAK,Nick,Martini
30,607333,OAK,Beau,Taylor
35,459964,OAK,Matt,Joyce
76,657656,OAK,Ramon,Laureano
85,501981,OAK,Khris,Davis
99,656305,OAK,Matt,Chapman
107,572033,OAK,Josh,Phegley
109,543760,OAK,Marcus,Semien
121,572039,OAK,Stephen,Piscotty
471,455139,TEX,Robinson,Chirinos
474,608336,TEX,Joey,Gallo
481,134181,TEX,Adrian,Beltre
485,608577,TEX,Nomar,Mazara
489,462101,TEX,Elvis,Andrus
492,596059,TEX,Rougned,Odor
497,595777,TEX,Jurickson,Profar
502,624636,TEX,Carlos,Tocci
505,643396,TEX,Isiah,Kiner-Falefa
620,425783,TEX,Shin-Soo,Choo
631,592261,TEX,Delino,DeShields
636,608597,TEX,Ronald,Guzman
748,593643,TEX,Hanser,Alberto
752,641432,TEX,Willie,Calhoun
864,493329,HOU,Yuli,Gurriel
872,608324,HOU,Alex,Bregman
877,514888,HOU,Jose,Altuve
881,545350,HOU,Jake,Marisnick
882,455117,HOU,Martin,Maldonado
887,502210,HOU,Josh,Reddick
891,594828,HOU,Evan,Gattis
897,503556,HOU,Marwin,Gonzalez
903,643603,HOU,Tyler,White
1022,543807,HOU,George,Springer
1032,435263,HOU,Brian,McCann
1061,643393,HOU,Tony,Kemp
1201,605204,HOU,J.D.,Davis
1319,641583,OAK,Dustin,Fowler
1818,596129,SEA,Daniel,Vogelbach
1822,572122,SEA,Kyle,Seager
1830,592387,SEA,Ryon,Healy
1834,429664,SEA,Robinson,Cano
1837,452655,SEA,Denard,Span
1842,571745,SEA,Mitch,Haniger
1845,461865,SEA,Andrew,Romine
1849,543829,SEA,Dee,Gordon
1852,592325,SEA,Ben,Gamel
1883,571679,SEA,David,Freitas
1951,572287,SEA,Mike,Zunino
1959,443558,SEA,Nelson,Cruz
1965,516416,SEA,Jean,Segura
1979,502117,SEA,Kristopher,Negron
2013,457727,SEA,Cameron,Maybin
2042,628338,SEA,Guillermo,Heredia
2612,592685,TEX,Drew,Robinson
2828,547170,CWS,Nicky,Delmonico
2833,456078,CWS,Welington,Castillo
2834,571602,CWS,Matt,Davidson
2838,541645,CWS,Avisail,Garcia
2840,570560,CWS,Yolmer,Sanchez
2846,641313,CWS,Tim,Anderson
2848,594953,CWS,Daniel,Palka
2855,641553,CWS,Adam,Engel
2857,660162,CWS,Yoan,Moncada
2862,534606,CWS,Ryan,LaMarre
2879,602922,CWS,Jose,Rondon
2886,641477,CWS,Ryan,Cordell
2958,607345,CWS,Kevan,Smith
3155,553882,CWS,Omar,Narvaez
3246,542208,TEX,Carlos,Perez
3664,621043,HOU,Carlos,Correa
4231,467827,COL,Gerardo,Parra
4237,596115,COL,Trevor,Story
4242,571448,COL,Nolan,Arenado
4249,471865,COL,Carlos,Gonzalez
4254,518934,COL,DJ,LeMahieu
4255,453568,COL,Charlie,Blackmon
4259,455104,COL,Chris,Iannetta
4264,641857,COL,Ryan,McMahon
4269,435622,COL,Ian,Desmond
4371,621311,COL,David,Dahl
4379,407812,COL,Matt,Holliday
4436,547172,COL,Tony,Wolters
4585,545358,HOU,Max,Stassi
5002,572041,ARI,A.J.,Pollock
5005,606466,ARI,Ketel,Marte
5011,488671,ARI,Alex,Avila
5013,605113,ARI,Nick,Ahmed
5018,519306,ARI,Steven,Souza
5024,518614,ARI,Daniel,Descalso
5027,502671,ARI,Paul,Goldschmidt
5033,444482,ARI,David,Peralta
5038,500871,ARI,Eduardo,Escobar
5045,571974,ARI,John,Ryan Murphy
5081,453329,ARI,Clay,Buchholz
5171,445055,ARI,Jon,Jay
5202,425772,ARI,Jeff,Mathis
5235,571578,ARI,Patrick,Corbin
5893,622534,SD,Manuel,Margot
5897,520471,SD,Freddy,Galvis
5905,595978,SD,Austin,Hedges
5907,592669,SD,Hunter,Renfroe
5913,543333,SD,Eric,Hosmer
5920,571976,SD,Wil,Myers
5921,608671,SD,Travis,Jankowski
5924,517369,SD,Jose,Pirela
5928,605486,SD,Cory,Spangenberg
5931,614177,SD,Franmil,Reyes
5954,572362,SD,Robbie,Erlin
6028,570799,SD,Christian,Villanueva
6034,454560,SD,A.J.,Ellis
6106,664028,SD,Brett,Kennedy
6254,453385,SD,Clayton,Richard
6773,592348,DET,Niko,Goodrum
6778,400121,DET,Victor,Martinez
6783,600869,DET,Jeimer,Candelario
6789,592206,DET,Nicholas,Castellanos
6793,578428,DET,Jose,Iglesias
6795,595222,DET,Mike,Gerber
6798,592444,DET,JaCoby,Jones
6804,543510,DET,James,McCann
6808,451192,DET,Jim,Adduci
6919,500135,DET,Ronny,Rodriguez
7064,622682,DET,Victor,Reyes
7069,543308,DET,John,Hicks
7172,543401,CLE,Jason,Kipnis
7175,446386,CLE,Brandon,Guyer
7178,475174,CLE,Yonder,Alonso
7182,429665,CLE,Edwin,Encarnacion
7186,608070,CLE,Jose,Ramirez
7193,488726,CLE,Michael,Brantley
7194,596019,CLE,Francisco,Lindor
7199,547982,CLE,Leonys,Martin
7200,547379,CLE,Roberto,Perez
7208,466320,CLE,Melky,Cabrera
7547,543228,CLE,Yan,Gomes
7576,641343,TB,Jake,Bauers
7581,543068,TB,C.J.,Cron
7585,605480,TB,Mallex,Smith
7587,621002,TB,Daniel,Robertson
7592,622110,TB,Matt,Duffy
7598,595281,TB,Kevin,Kiermaier
7604,491696,TB,Jesus,Sucre
7608,642715,TB,Willy,Adames
7613,460576,TB,Carlos,Gomez
7626,502054,TB,Tommy,Pham
7735,596847,TB,Ji-Man,Choi
7738,621563,TB,Joey,Wendle
7786,605421,TB,Michael,Perez
8187,543302,SEA,Chris,Herrmann
8446,547989,CWS,Jose,Abreu
8473,544725,CWS,Leury,Garcia
9015,663656,HOU,Kyle,Tucker
9050,543148,HOU,Tim,Federowicz
9484,621035,LAD,Chris,Taylor
9489,592808,LAD,Andrew,Toles
9492,518735,LAD,Yasmani,Grandal
